pais, ano, krause, valor, moeda, qualidade, material, diametro, detalhe, anverso, reverso, 
Caribe, 1965, 13, 1, DOLAR, UTG, PAPEL, 145X69, , MAPA ESQUERADA RAINHA A DIREITA, COSTA COM MAR, 
China, 0, , 2, YUAN, FE, PAPEL, , CUPOM VERDE, , , 
China, 1953, 861, 2, FEN, FE, PAPEL, 99X47MM, NOTA VERDE, NAVIO CARGUEIRO, , 
China, 1953, 860, 1, FEN, FE, PAPEL, 90X42, , , , 
China, 1980, 883, 5, JIAO, FE, PAPEL, 125X58, WC50493075, , , 
China, 1980, 881, 1, JIAO, FE, PAPEL, 115X57, SERIE XH84599106, , , 
China, 1980, 882, 2, JIAO, FE, PAPEL, 120X55, SERIE DS261388177, , , 
China, 1981, , 1, COUPON, FE, PAPEL, 87X35, , , , 
China, 1983, , 3, COUPON, FE, PAPEL, 87X35, , , , 
China, 1999, 895, 5, YUAN, , PAPEL, 135X62, QM44313257, , , 
Colombia, 2016, , 1000, PESO, BC, PAPEL, , SERIE 14601238, , , 
Congo, 2013, , 50, FRANCO, FE, PAPEL, 151X70MM, SERIE KE2301327G, , MAKUMI TANO, 
